----------Creating Processes----------
Process: A 	Size: 17 	Arrival Time: 5 	Run Time: 5 
Process: B 	Size: 17 	Arrival Time: 25 	Run Time: 4 
Process: C 	Size: 5 	Arrival Time: 59 	Run Time: 2 
Process: D 	Size: 17 	Arrival Time: 25 	Run Time: 4 
Process: E 	Size: 5 	Arrival Time: 54 	Run Time: 5 
Process: F 	Size: 11 	Arrival Time: 14 	Run Time: 4 
Process: G 	Size: 5 	Arrival Time: 54 	Run Time: 4 
Process: H 	Size: 31 	Arrival Time: 57 	Run Time: 3 
Process: I 	Size: 11 	Arrival Time: 57 	Run Time: 4 
Process: J 	Size: 17 	Arrival Time: 32 	Run Time: 3 
Process: K 	Size: 11 	Arrival Time: 18 	Run Time: 5 
Process: L 	Size: 17 	Arrival Time: 5 	Run Time: 5 
Process: M 	Size: 11 	Arrival Time: 9 	Run Time: 2 
Process: N 	Size: 17 	Arrival Time: 47 	Run Time: 2 
Process: O 	Size: 5 	Arrival Time: 31 	Run Time: 3 
Process: P 	Size: 5 	Arrival Time: 45 	Run Time: 2 
Process: Q 	Size: 11 	Arrival Time: 1 	Run Time: 1 
Process: R 	Size: 17 	Arrival Time: 32 	Run Time: 1 
Process: S 	Size: 5 	Arrival Time: 1 	Run Time: 5 
Process: T 	Size: 17 	Arrival Time: 15 	Run Time: 3 
Process: U 	Size: 5 	Arrival Time: 29 	Run Time: 1 
Process: V 	Size: 5 	Arrival Time: 11 	Run Time: 3 
Process: W 	Size: 5 	Arrival Time: 4 	Run Time: 2 
Process: X 	Size: 5 	Arrival Time: 51 	Run Time: 5 
Process: Y 	Size: 17 	Arrival Time: 27 	Run Time: 3 
Process: Z 	Size: 11 	Arrival Time: 48 	Run Time: 3 
Process: a 	Size: 31 	Arrival Time: 37 	Run Time: 1 
Process: b 	Size: 17 	Arrival Time: 51 	Run Time: 4 
Process: s 	Size: 31 	Arrival Time: 7 	Run Time: 2 
Process: d 	Size: 17 	Arrival Time: 13 	Run Time: 5 
Process: e 	Size: 11 	Arrival Time: 14 	Run Time: 4 
Process: f 	Size: 17 	Arrival Time: 14 	Run Time: 2 
Process: g 	Size: 11 	Arrival Time: 30 	Run Time: 4 
Process: h 	Size: 5 	Arrival Time: 3 	Run Time: 2 
Process: i 	Size: 31 	Arrival Time: 9 	Run Time: 1 
Process: j 	Size: 17 	Arrival Time: 50 	Run Time: 4 
Process: k 	Size: 11 	Arrival Time: 5 	Run Time: 3 
Process: l 	Size: 17 	Arrival Time: 48 	Run Time: 4 
Process: m 	Size: 31 	Arrival Time: 55 	Run Time: 3 
Process: n 	Size: 11 	Arrival Time: 9 	Run Time: 2 
Process: o 	Size: 31 	Arrival Time: 10 	Run Time: 3 
Process: p 	Size: 17 	Arrival Time: 17 	Run Time: 4 
Process: q 	Size: 11 	Arrival Time: 18 	Run Time: 4 
Process: r 	Size: 5 	Arrival Time: 30 	Run Time: 4 
Process: s 	Size: 17 	Arrival Time: 34 	Run Time: 3 
Process: t 	Size: 31 	Arrival Time: 52 	Run Time: 1 
Process: u 	Size: 11 	Arrival Time: 17 	Run Time: 1 
Process: v 	Size: 31 	Arrival Time: 35 	Run Time: 4 
Process: w 	Size: 11 	Arrival Time: 18 	Run Time: 2 
Process: x 	Size: 11 	Arrival Time: 28 	Run Time: 1 
Process: y 	Size: 31 	Arrival Time: 11 	Run Time: 4 
Process: z 	Size: 31 	Arrival Time: 42 	Run Time: 1 
Process: 0 	Size: 11 	Arrival Time: 19 	Run Time: 1 
Process: 1 	Size: 17 	Arrival Time: 51 	Run Time: 3 
Process: 2 	Size: 11 	Arrival Time: 1 	Run Time: 2 
Process: 3 	Size: 17 	Arrival Time: 16 	Run Time: 4 
Process: 4 	Size: 11 	Arrival Time: 17 	Run Time: 4 
Process: 5 	Size: 11 	Arrival Time: 33 	Run Time: 4 
Process: 6 	Size: 17 	Arrival Time: 2 	Run Time: 3 
Process: 7 	Size: 17 	Arrival Time: 43 	Run Time: 3 
Process: 8 	Size: 31 	Arrival Time: 35 	Run Time: 1 
Process: 9 	Size: 31 	Arrival Time: 6 	Run Time: 3 
Process: A 	Size: 5 	Arrival Time: 0 	Run Time: 2 
Process: B 	Size: 31 	Arrival Time: 2 	Run Time: 5 
Process: C 	Size: 11 	Arrival Time: 7 	Run Time: 3 
Process: D 	Size: 5 	Arrival Time: 17 	Run Time: 5 
Process: E 	Size: 5 	Arrival Time: 22 	Run Time: 4 
Process: F 	Size: 11 	Arrival Time: 28 	Run Time: 4 
Process: G 	Size: 11 	Arrival Time: 14 	Run Time: 1 
Process: H 	Size: 5 	Arrival Time: 28 	Run Time: 2 
Process: I 	Size: 31 	Arrival Time: 27 	Run Time: 2 
Process: J 	Size: 17 	Arrival Time: 7 	Run Time: 5 
Process: K 	Size: 17 	Arrival Time: 51 	Run Time: 5 
Process: L 	Size: 17 	Arrival Time: 43 	Run Time: 2 
Process: M 	Size: 5 	Arrival Time: 12 	Run Time: 2 
Process: N 	Size: 5 	Arrival Time: 44 	Run Time: 4 
Process: O 	Size: 5 	Arrival Time: 12 	Run Time: 2 
Process: P 	Size: 11 	Arrival Time: 53 	Run Time: 2 
Process: Q 	Size: 5 	Arrival Time: 15 	Run Time: 1 
Process: R 	Size: 5 	Arrival Time: 35 	Run Time: 4 
Process: S 	Size: 5 	Arrival Time: 23 	Run Time: 3 
Process: T 	Size: 31 	Arrival Time: 41 	Run Time: 5 
Process: U 	Size: 11 	Arrival Time: 11 	Run Time: 4 
Process: V 	Size: 17 	Arrival Time: 5 	Run Time: 2 
Process: W 	Size: 17 	Arrival Time: 6 	Run Time: 4 
Process: X 	Size: 11 	Arrival Time: 14 	Run Time: 5 
Process: Y 	Size: 11 	Arrival Time: 38 	Run Time: 3 
Process: Z 	Size: 5 	Arrival Time: 27 	Run Time: 1 
Process: a 	Size: 31 	Arrival Time: 23 	Run Time: 3 
Process: b 	Size: 5 	Arrival Time: 4 	Run Time: 4 
Process: s 	Size: 11 	Arrival Time: 20 	Run Time: 2 
Process: d 	Size: 17 	Arrival Time: 48 	Run Time: 3 
Process: e 	Size: 11 	Arrival Time: 17 	Run Time: 1 
Process: f 	Size: 5 	Arrival Time: 55 	Run Time: 4 
Process: g 	Size: 17 	Arrival Time: 37 	Run Time: 5 
Process: h 	Size: 5 	Arrival Time: 30 	Run Time: 1 
Process: i 	Size: 31 	Arrival Time: 44 	Run Time: 1 
Process: j 	Size: 17 	Arrival Time: 48 	Run Time: 3 
Process: k 	Size: 17 	Arrival Time: 56 	Run Time: 4 
Process: l 	Size: 17 	Arrival Time: 20 	Run Time: 3 
Process: m 	Size: 11 	Arrival Time: 38 	Run Time: 3 
Process: n 	Size: 31 	Arrival Time: 0 	Run Time: 3 
Process: o 	Size: 17 	Arrival Time: 41 	Run Time: 5 
Process: p 	Size: 5 	Arrival Time: 26 	Run Time: 3 
Process: q 	Size: 5 	Arrival Time: 48 	Run Time: 5 
Process: r 	Size: 17 	Arrival Time: 1 	Run Time: 3 
Process: s 	Size: 17 	Arrival Time: 48 	Run Time: 2 
Process: t 	Size: 5 	Arrival Time: 14 	Run Time: 2 
Process: u 	Size: 17 	Arrival Time: 12 	Run Time: 5 
Process: v 	Size: 31 	Arrival Time: 6 	Run Time: 1 
Process: w 	Size: 5 	Arrival Time: 7 	Run Time: 4 
Process: x 	Size: 11 	Arrival Time: 2 	Run Time: 1 
Process: y 	Size: 31 	Arrival Time: 16 	Run Time: 2 
Process: z 	Size: 11 	Arrival Time: 53 	Run Time: 5 
Process: 0 	Size: 31 	Arrival Time: 5 	Run Time: 1 
Process: 1 	Size: 31 	Arrival Time: 36 	Run Time: 2 
Process: 2 	Size: 11 	Arrival Time: 46 	Run Time: 2 
Process: 3 	Size: 31 	Arrival Time: 59 	Run Time: 1 
Process: 4 	Size: 11 	Arrival Time: 57 	Run Time: 3 
Process: 5 	Size: 5 	Arrival Time: 40 	Run Time: 2 
Process: 6 	Size: 31 	Arrival Time: 20 	Run Time: 4 
Process: 7 	Size: 5 	Arrival Time: 9 	Run Time: 4 
Process: 8 	Size: 11 	Arrival Time: 48 	Run Time: 2 
Process: 9 	Size: 31 	Arrival Time: 50 	Run Time: 5 
Process: A 	Size: 5 	Arrival Time: 45 	Run Time: 3 
Process: B 	Size: 11 	Arrival Time: 12 	Run Time: 4 
Process: C 	Size: 31 	Arrival Time: 41 	Run Time: 2 
Process: D 	Size: 11 	Arrival Time: 48 	Run Time: 1 
Process: E 	Size: 11 	Arrival Time: 22 	Run Time: 3 
Process: F 	Size: 11 	Arrival Time: 2 	Run Time: 5 
Process: G 	Size: 5 	Arrival Time: 17 	Run Time: 2 
Process: H 	Size: 31 	Arrival Time: 37 	Run Time: 4 
Process: I 	Size: 5 	Arrival Time: 2 	Run Time: 2 
Process: J 	Size: 11 	Arrival Time: 5 	Run Time: 4 
Process: K 	Size: 5 	Arrival Time: 13 	Run Time: 2 
Process: L 	Size: 5 	Arrival Time: 58 	Run Time: 4 
Process: M 	Size: 5 	Arrival Time: 29 	Run Time: 3 
Process: N 	Size: 17 	Arrival Time: 18 	Run Time: 1 
Process: O 	Size: 5 	Arrival Time: 39 	Run Time: 3 
Process: P 	Size: 17 	Arrival Time: 45 	Run Time: 2 
Process: Q 	Size: 11 	Arrival Time: 33 	Run Time: 4 
Process: R 	Size: 31 	Arrival Time: 20 	Run Time: 3 
Process: S 	Size: 31 	Arrival Time: 52 	Run Time: 5 
Process: T 	Size: 5 	Arrival Time: 18 	Run Time: 1 
Process: U 	Size: 17 	Arrival Time: 38 	Run Time: 1 
Process: V 	Size: 17 	Arrival Time: 50 	Run Time: 5 
Process: W 	Size: 31 	Arrival Time: 30 	Run Time: 1 
Process: X 	Size: 11 	Arrival Time: 8 	Run Time: 2 
Process: Y 	Size: 31 	Arrival Time: 52 	Run Time: 1 
Process: Z 	Size: 5 	Arrival Time: 31 	Run Time: 3 
----------Processes Created----------
----------Beginning FIFO Paging Algorithm----------
Memory-map: ....................................................................................................
[0:00.0] Process: A, Enter, Size: 5, Service Duration: 2
Memory-map: A...................................................................................................
[0:00.1] Process: A, Page Referenced: 1, Page-in-memory: 1, Process Evicted: .
[0:00.1] Process: n, Enter, Size: 31, Service Duration: 3
Memory-map: nA..................................................................................................
[0:00.2] Process: A, Page Referenced: 0, Page-in-memory: 0
[0:00.2] Process: n, Page Referenced: 30, Page-in-memory: 2, Process Evicted: .
[0:00.3] Process: A, Page Referenced: 1, Page-in-memory: 1
[0:00.3] Process: n, Page Referenced: 1, Page-in-memory: 3, Process Evicted: .
[0:00.4] Process: A, Page Referenced: 0, Page-in-memory: 0
[0:00.4] Process: n, Page Referenced: 1, Page-in-memory: 3
[0:00.5] Process: A, Page Referenced: 1, Page-in-memory: 1
[0:00.5] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:00.6] Process: A, Page Referenced: 4, Page-in-memory: 4, Process Evicted: .
[0:00.6] Process: n, Page Referenced: 1, Page-in-memory: 3
[0:00.7] Process: A, Page Referenced: 3, Page-in-memory: 5, Process Evicted: .
[0:00.7] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:00.8] Process: A, Page Referenced: 0, Page-in-memory: 0
[0:00.8] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:00.9] Process: A, Page Referenced: 3, Page-in-memory: 5
[0:00.9] Process: n, Page Referenced: 1, Page-in-memory: 3
[0:01.0] Process: A, Page Referenced: 4, Page-in-memory: 4
[0:01.0] Process: n, Page Referenced: 11, Page-in-memory: 6, Process Evicted: .
[0:01.0] Process: Q, Enter, Size: 11, Service Duration: 1
Memory-map: QAnnAAn.............................................................................................
[0:01.1] Process: A, Page Referenced: 1, Page-in-memory: 1
[0:01.1] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:01.1] Process: Q, Page Referenced: 0, Page-in-memory: 0
[0:01.1] Process: S, Enter, Size: 5, Service Duration: 5
Memory-map: SAnnAAn.............................................................................................
[0:01.2] Process: A, Page Referenced: 1, Page-in-memory: 1
[0:01.2] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:01.2] Process: Q, Page Referenced: 0, Page-in-memory: 0
[0:01.2] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:01.2] Process: 2, Enter, Size: 11, Service Duration: 2
Memory-map: 2AnnAAn.............................................................................................
[0:01.3] Process: A, Page Referenced: 0, Page-in-memory: 0
[0:01.3] Process: n, Page Referenced: 1, Page-in-memory: 3
[0:01.3] Process: Q, Page Referenced: 1, Page-in-memory: 7, Process Evicted: .
[0:01.3] Process: S, Page Referenced: 2, Page-in-memory: 8, Process Evicted: .
[0:01.3] Process: 2, Page Referenced: 0, Page-in-memory: 0
[0:01.3] Process: r, Enter, Size: 17, Service Duration: 3
Memory-map: rAnnAAnQS...........................................................................................
[0:01.4] Process: A, Page Referenced: 1, Page-in-memory: 1
[0:01.4] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:01.4] Process: Q, Page Referenced: 10, Page-in-memory: 9, Process Evicted: .
[0:01.4] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:01.4] Process: 2, Page Referenced: 1, Page-in-memory: 10, Process Evicted: .
[0:01.4] Process: r, Page Referenced: 6, Page-in-memory: 11, Process Evicted: .
[0:01.5] Process: A, Page Referenced: 0, Page-in-memory: 0
[0:01.5] Process: n, Page Referenced: 13, Page-in-memory: 12, Process Evicted: .
[0:01.5] Process: Q, Page Referenced: 1, Page-in-memory: 7
[0:01.5] Process: S, Page Referenced: 1, Page-in-memory: 13, Process Evicted: .
[0:01.5] Process: 2, Page Referenced: 0, Page-in-memory: 0
[0:01.5] Process: r, Page Referenced: 1, Page-in-memory: 14, Process Evicted: .
[0:01.6] Process: A, Page Referenced: 0, Page-in-memory: 0
[0:01.6] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:01.6] Process: Q, Page Referenced: 3, Page-in-memory: 15, Process Evicted: .
[0:01.6] Process: S, Page Referenced: 1, Page-in-memory: 13
[0:01.6] Process: 2, Page Referenced: 10, Page-in-memory: 16, Process Evicted: .
[0:01.6] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:01.7] Process: A, Page Referenced: 4, Page-in-memory: 4
[0:01.7] Process: n, Page Referenced: 1, Page-in-memory: 3
[0:01.7] Process: Q, Page Referenced: 10, Page-in-memory: 9
[0:01.7] Process: S, Page Referenced: 4, Page-in-memory: 17, Process Evicted: .
[0:01.7] Process: 2, Page Referenced: 10, Page-in-memory: 16
[0:01.7] Process: r, Page Referenced: 14, Page-in-memory: 18, Process Evicted: .
[0:01.8] Process: A, Page Referenced: 0, Page-in-memory: 0
[0:01.8] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:01.8] Process: Q, Page Referenced: 6, Page-in-memory: 19, Process Evicted: .
[0:01.8] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:01.8] Process: 2, Page Referenced: 1, Page-in-memory: 10
[0:01.8] Process: r, Page Referenced: 16, Page-in-memory: 20, Process Evicted: .
[0:01.9] Process: A, Page Referenced: 1, Page-in-memory: 1
[0:01.9] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:01.9] Process: Q, Page Referenced: 0, Page-in-memory: 0
[0:01.9] Process: S, Page Referenced: 3, Page-in-memory: 21, Process Evicted: .
[0:01.9] Process: 2, Page Referenced: 9, Page-in-memory: 22, Process Evicted: .
[0:01.9] Process: r, Page Referenced: 16, Page-in-memory: 20
[0:02.0] Process: A, Page Referenced: 3, Page-in-memory: 5
[0:02.0] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:02.0] Process: Q, Page Referenced: 10, Page-in-memory: 9
[0:02.0] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:02.0] Process: 2, Page Referenced: 0, Page-in-memory: 0
[0:02.0] Process: r, Page Referenced: 1, Page-in-memory: 14
